epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,193.146,0.6043,1.24705,1.04153,0.52229,0.93333,0.9686,0.76746,0.7567,1.19346,1.78958,0.000290612,0.000290612,0.000290612
59,195.929,0.43055,0.77147,0.90462,0.52229,0.93333,0.9686,0.76746,0.7567,1.19346,1.78958,0.000284009,0.000284009,0.000284009
60,198.875,0.57052,0.88739,0.97786,0.51707,0.93333,0.9686,0.72737,0.81616,1.15142,1.79608,0.000277405,0.000277405,0.000277405
61,201.771,0.65389,0.95875,1.03864,0.51707,0.93333,0.9686,0.72737,0.81616,1.15142,1.79608,0.000270802,0.000270802,0.000270802
62,204.587,0.44718,0.76004,1.00736,0.57512,0.93333,0.9686,0.72519,0.86545,1.1492,1.88827,0.000264199,0.000264199,0.000264199
63,207.404,0.47451,0.80751,1.17503,0.57512,0.93333,0.9686,0.72519,0.86545,1.1492,1.88827,0.000257595,0.000257595,0.000257595
64,210.523,0.48985,0.7485,0.97048,0.66922,0.93333,0.9686,0.72525,0.8704,1.14411,1.92636,0.000250992,0.000250992,0.000250992
65,213.577,0.40741,0.70994,0.98121,0.66922,0.93333,0.9686,0.72525,0.8704,1.14411,1.92636,0.000244389,0.000244389,0.000244389
66,216.658,0.29244,1.74092,0.92983,0.77664,0.9213,0.9686,0.71641,0.85395,1.17775,1.85368,0.000237785,0.000237785,0.000237785
67,219.575,0.71122,0.96009,1.08415,0.77664,0.9213,0.9686,0.71641,0.85395,1.17775,1.85368,0.000231182,0.000231182,0.000231182
68,222.447,0.36078,0.71075,1.14428,0.75261,0.91705,0.9686,0.69899,0.83497,1.32248,1.56772,0.000224579,0.000224579,0.000224579
69,225.244,0.42072,0.55977,1.02905,0.75261,0.91705,0.9686,0.69899,0.83497,1.32248,1.56772,0.000217976,0.000217976,0.000217976
70,228.249,0.47837,0.7409,0.96911,0.75653,0.91207,0.8691,0.65594,0.80752,1.3776,1.61759,0.000211372,0.000211372,0.000211372
